task_id,asset_id,corridor_id,location_km,defect_type,maintenance_type,criticality,urgency,safety_risk,due_date,overdue_days,estimated_duration_min,crew_required,status
TMS0240,TRK_256,COR_05,114.0,Ballast Deficiency,Predictive,2,4,4,2026-09-12,0,30,5,Completed
TMS0241,TRK_299,COR_13,96.2,Weld Failure,Corrective,3,5,5,2026-09-14,0,150,2,Pending
TMS0242,TRK_182,COR_06,116.5,Rail Crack,Emergency,3,4,1,2026-09-06,0,30,2,Pending
TMS0243,TRK_266,COR_18,104.5,Rail Wear,Preventive,4,3,4,2026-09-15,0,90,8,Scheduled
TMS0244,TRK_078,COR_12,179.6,Weld Failure,Corrective,3,4,1,2026-09-15,0,30,8,Completed
TMS0245,TRK_179,COR_10,61.8,Ballast Deficiency,Emergency,3,4,1,2026-09-03,1,90,7,Scheduled
TMS0246,TRK_035,COR_10,8.0,Rail Crack,Corrective,3,1,2,2026-09-09,0,150,3,Scheduled
TMS0247,TRK_082,COR_11,100.8,Weld Failure,Preventive,4,2,2,2026-09-16,0,150,7,Pending
TMS0248,TRK_102,COR_15,106.6,Weld Failure,Corrective,2,2,3,2026-08-30,5,180,7,In Progress
TMS0249,TRK_296,COR_04,143.9,Rail Wear,Preventive,3,3,2,2026-09-01,3,90,2,Pending
TMS0250,TRK_271,COR_11,107.5,Rail Wear,Emergency,5,1,3,2026-09-14,0,60,8,Pending
